ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
10,10,64561,55894,5668,1762,697,858,68,63741,53402,6706,2089,977,813,109,63666,51107,6847,2704,982,1856,125,63235,52505,6950,2135,926,755,102,63127,52000,7073,2158,1153,759,166,48831,43625,3292,990,486,578,43,47170,42160,2929,1176,364,467,10,48926,40844,4214,1623,708,1267,75,48926,40844,4214,1280,512,244,38,142,1652,47319,42161,3060,1253,328,462,10,47361,42018,3209,1321,395,429,30,26018,13916,11648,25386,13733,11653,25534,10552,13083,24734,8993,13790,19949,9544,9793,17181,12449,0,23831,10578,12130,26822,12459,13748,26352,12434,12653
11,11,57306,54908,1086,558,444,331,52,61088,57682,1655,659,650,419,282,63559,58218,1884,1055,756,1035,81,61705,58141,1696,758,686,418,238,64186,59635,1970,1146,859,647,178,42519,41195,603,281,246,203,32,45777,43774,985,361,362,241,61,47676,44369,1125,541,458,722,45,47676,44369,1125,361,318,85,14,135,1269,46464,44264,981,421,402,273,62,48355,45955,970,503,569,272,49,30480,15313,14502,31071,15582,15489,32787,12488,17839,32294,10497,20454,28777,12897,15237,25072,18681,0,32556,13049,18468,37005,14805,21394,36604,14822,20599
12,12,63362,60592,1677,444,352,356,74,61952,57996,2421,528,607,499,63,63604,58411,2640,686,575,964,168,62100,57624,2586,570,538,686,38,63663,58201,3001,710,649,715,78,47729,46071,977,242,201,247,46,46299,44395,1007,276,205,472,0,48034,44679,1644,364,374,663,104,48034,44679,1644,203,245,62,48,91,1062,46507,44225,1066,338,241,646,4,47709,44975,1474,387,286,640,14,32704,14882,16560,31087,14366,16721,31362,9481,19923,30959,8028,21617,27029,9289,17131,23357,16809,0,30188,9375,20252,34287,10255,23495,33854,10487,22263
13,13,64542,59184,3655,869,492,513,85,63655,56243,4245,1816,686,346,272,63740,54142,4810,2053,1003,1134,621,63612,55783,4414,1861,865,581,337,63565,54762,4524,1971,1087,815,536,49166,46007,2095,475,312,344,44,46986,44021,1700,711,271,159,95,48145,42164,2872,1217,662,804,312,48145,42164,2872,1006,554,82,270,100,1097,47101,43487,2060,758,348,318,120,46486,42732,1973,819,451,414,70,29733,15103,13580,28611,14685,13926,28643,9329,17842,28103,9207,17756,23055,9254,13314,19893,14622,0,26654,9496,16611,29887,9675,19717,29341,10480,17826
14,14,36564,33427,944,725,1347,142,34,54160,46999,2153,1417,3365,333,106,63822,52484,2801,2692,4725,740,102,57395,48381,2610,1693,3978,375,154,64601,53179,3040,2312,4759,483,100,25799,23961,522,376,850,89,23,37329,34161,1084,889,994,193,0,46257,39189,1727,1544,3074,488,66,46257,39189,1727,1246,2774,60,23,142,1096,39565,35848,1195,986,1257,229,0,45078,39956,1698,1325,1748,301,0,18778,8404,10064,22288,9403,12885,23400,9738,11596,23085,7217,14992,26623,12826,13361,23499,17645,0,28681,12977,14844,36576,18213,17578,36265,17094,18288
15,15,59902,42917,8255,5258,3281,770,87,62006,40433,10020,7396,3964,1344,109,63743,37113,12673,7411,5477,1659,97,63254,39969,11083,7308,4670,887,87,63500,39461,11509,7175,4952,1169,52,43388,33585,4630,2769,2152,452,62,42542,32813,3918,3396,1931,515,0,47319,30541,7701,4303,3796,1183,55,47319,30541,7701,3614,3470,163,16,150,1664,43218,32811,4021,3550,2532,317,8,43737,32918,4372,3271,2817,206,8,24873,15631,8754,25384,17088,8296,24666,13997,8919,24292,12092,10949,20695,13222,6963,19095,15374,0,23904,14101,8883,26783,16112,10091,26416,16040,9382
16,16,62844,53144,3885,2549,3078,317,85,64539,51606,4351,3405,4907,424,82,64223,48822,5005,4603,4539,933,95,64824,52844,4016,3471,4261,306,67,64225,50492,4594,4183,4568,352,25,47878,41657,2452,1495,2132,200,54,46280,41066,1656,1780,1497,180,35,49820,39687,3203,2796,3124,631,59,49820,39687,3203,2418,2763,66,24,185,1474,47504,42026,1665,2024,1598,171,35,47216,40376,2100,2767,1764,185,25,35026,18240,16288,36565,18626,17939,35727,18298,14587,35340,14812,19205,32231,18364,13357,28923,22735,0,35128,18840,15175,37855,22200,14913,37586,21034,15667
17,17,64593,36982,11417,11899,4067,921,141,66928,35380,13115,13264,5808,859,124,63990,31647,13415,12607,5486,1697,150,64909,33835,12953,13422,5074,992,124,62684,33171,11712,12988,4287,1423,91,47707,30618,6621,7262,2942,597,84,42822,29865,3616,6998,2003,330,30,47806,26887,8285,7969,3843,1224,96,47806,26887,8285,7074,3545,139,37,153,1686,41561,28589,3863,6581,1811,372,25,42045,28860,3966,6836,1635,392,4,25178,18118,6510,24598,18872,5726,23565,16026,5770,23063,14114,7703,19437,14311,4627,18332,15374,0,22260,15448,5913,24344,17110,6627,23945,16853,6111
18,18,58717,47452,3069,5769,2157,533,77,64120,50056,3520,6219,4343,607,102,63978,46650,4503,7450,4340,954,118,64286,49453,3853,6457,4514,607,79,64420,47540,4723,7180,5026,679,66,46633,39402,1902,3597,1481,362,46,48155,41256,1735,3464,1343,287,20,51741,40011,2981,4831,3013,712,81,51741,40011,2981,4134,2602,149,25,196,1643,48540,41070,1949,3452,1714,249,54,48535,39864,2142,4234,2018,173,4,33077,22013,10457,33552,22908,10644,33481,22019,8765,33030,19016,12536,30963,22582,7753,29056,24448,0,33419,22923,9308,36245,26034,9414,35943,25320,9661
19,19,62715,60054,914,798,679,329,31,62775,58900,1346,1316,837,453,32,63733,58556,1596,1272,902,913,119,63119,58980,1434,1349,883,440,15,63513,59069,1557,1408,983,444,122,47796,46121,521,535,418,221,22,48104,45809,746,896,349,333,0,49179,45799,989,768,608,650,79,49179,45799,989,605,463,102,29,95,1097,48001,45849,693,844,302,341,0,48356,46026,945,817,288,330,0,33103,15257,17017,32980,15361,17619,33239,10822,19963,32931,9222,22257,28101,10825,16726,24373,17665,0,31970,10985,20093,35563,12029,22872,35281,12178,21985
20,20,55263,47951,2900,2613,1582,385,92,61978,51109,3781,4735,2132,325,202,64031,50237,5206,4693,2475,1248,132,63830,51598,3571,5693,2510,471,231,65568,52229,4582,5431,2854,485,50,41038,36635,1670,1487,1034,252,58,44605,39565,1444,2168,1175,122,80,48298,39643,3146,2761,1596,903,85,48298,39643,3146,2398,1393,117,42,139,1420,45181,39779,1523,2312,1171,229,90,46143,40248,2108,1938,1517,254,4,25602,13957,11110,27101,15594,11507,28486,12989,13235,28002,11005,15658,24862,13495,10804,22141,17101,0,28260,13697,13479,31971,15657,15572,31626,15543,14909
21,21,42845,39935,973,714,1068,181,33,57548,52344,1782,1836,1538,113,26,63965,55521,2643,2423,2057,853,84,61937,56713,1805,1295,1977,190,70,65163,58229,2194,1321,2811,191,64,30928,29225,541,404,648,103,21,40682,38166,760,824,832,85,0,47150,41950,1589,1352,1298,549,57,47150,41950,1589,1081,1072,77,19,202,1160,44143,41506,784,701,982,135,0,46312,43688,999,554,973,104,0,21115,9889,10846,25310,11564,13746,29443,12575,14249,29076,10035,17868,27737,13736,13479,24224,18070,0,31448,14394,15945,37582,18447,18262,37239,17856,18426
22,22,56102,50229,1599,1841,2248,224,61,59697,51475,1983,3038,3060,139,184,63809,51702,3040,3905,4164,698,100,60976,50385,2986,3312,4065,204,98,62989,50028,3075,5165,3947,469,22,41486,37976,925,1000,1439,144,38,42497,38726,864,1349,1487,74,25,47892,40433,1839,2145,2700,486,56,47892,40433,1839,1879,2453,50,21,108,1109,43641,38577,1577,1617,1853,87,0,44647,38959,1514,2339,1756,168,0,32070,15525,16063,33726,15957,17769,34849,16437,15759,34513,13198,20082,31349,16294,14546,27710,21315,0,34517,16931,16521,37751,20097,16892,37445,19231,17376
23,23,43053,40696,826,560,824,203,31,59570,55174,1918,931,1297,458,95,63308,56724,2138,1441,1713,915,73,57824,53523,1285,1350,1237,398,105,63334,57645,2120,1654,1360,281,100,30478,29090,463,329,475,146,17,41562,39380,918,472,529,178,0,44725,40798,1202,797,1004,639,45,44725,40798,1202,598,838,107,16,113,1053,40352,38747,506,542,312,175,0,44262,42026,891,796,319,154,0,23657,10291,12860,25839,10942,14897,28971,10499,16178,28644,8302,19191,27968,12021,15397,24334,17458,0,31182,12300,17938,37264,15729,20714,37029,15266,20818
24,24,63790,58367,3791,768,538,426,68,63515,56717,4412,1092,691,649,126,63865,56082,4525,1191,672,1069,113,63356,56784,4137,1215,590,649,110,63808,56817,4195,1444,622,686,80,48314,45198,2165,355,372,260,41,47630,44811,1762,414,304,327,39,49089,44240,2798,608,450,751,77,49089,44240,2798,401,304,90,26,96,1134,48062,45327,1603,523,253,352,34,49225,45865,2028,720,302,347,8,32832,16584,15136,32486,16981,15505,32548,12471,17490,32159,10494,20086,28163,12873,14603,25037,18680,0,31553,12871,17881,35535,14276,20498,35190,14268,19675
